😵	face with crossed-out eyes	Smileys & Emotion	face-unwell	crossed|dizzy|eyes|face|out|with	0
😵‍💫	face with spiral eyes	Smileys & Emotion	face-unwell	eyes|face|spiral|with	0
🤯	exploding head	Smileys & Emotion	face-unwell	exploding|happy|head|joy|laugh	0
🤠	cowboy hat face	Smileys & Emotion	face-hat	cowboy|face|hat	0
🥳	partying face	Smileys & Emotion	face-hat	face|partying	0
🥸	disguised face	Smileys & Emotion	face-hat	disguised|face	0
😎	smiling face with sunglasses	Smileys & Emotion	face-glasses	face|smiling|sunglasses|with	0
🤓	nerd face	Smileys & Emotion	face-glasses	face|nerd	0
🧐	face with monocle	Smileys & Emotion	face-glasses	face|monocle|with	0
😕	confused face	Smileys & Emotion	face-concerned	confused|face	0
🫤	face with diagonal mouth	Smileys & Emotion	face-concerned	diagonal|face|mouth|with	0
😟	worried face	Smileys & Emotion	face-concerned	face|worried	0
🙁	slightly frowning face	Smileys & Emotion	face-concerned	face|frowning|slightly	0
☹️	frowning face	Smileys & Emotion	face-concerned	face|frowning	0
😮	face with open mouth	Smileys & Emotion	face-concerned	face|mouth|open|with	0
😯	hushed face	Smileys & Emotion	face-concerned	face|hushed	0
😲	astonished face	Smileys & Emotion	face-concerned	astonished|face	0
😳	flushed face	Smileys & Emotion	face-concerned	face|flushed	0
🥺	pleading face	Smileys & Emotion	face-concerned	face|pleading	0
🥹	face holding back tears	Smileys & Emotion	face-concerned	back|face|holding|tears	0
😦	frowning face with open mouth	Smileys & Emotion	face-concerned	face|frowning|mouth|open|with	0
😧	anguished face	Smileys & Emotion	face-concerned	anguished|face	0
😨	fearful face	Smileys & Emotion	face-concerned	face|fearful	0
😰	anxious face with sweat	Smileys & Emotion	face-concerned	anxious|cold|face|sweat|with	0
😥	sad but relieved face	Smileys & Emotion	face-concerned	but|disappointed|face|relieved|sad	0
😢	crying face	Smileys & Emotion	face-concerned	cry|crying|face	0
😭	loudly crying face	Smileys & Emotion	face-concerned	crying|face|loudly|sob	0
😱	face screaming in fear	Smileys & Emotion	face-concerned	face|fear|scream|screaming	0
😖	confounded face	Smileys & Emotion	face-concerned	confounded|face	0
😣	persevering face	Smileys & Emotion	face-concerned	face|persevere|persevering	0
😞	disappointed face	Smileys & Emotion	face-concerned	disappointed|face	0
😓	downcast face with sweat	Smileys & Emotion	face-concerned	downcast|face|sweat|with	0
😩	weary face	Smileys & Emotion	face-concerned	face|weary	0
😫	tired face	Smileys & Emotion	face-concerned	face|tired	0
🥱	yawning face	Smileys & Emotion	face-concerned	face|yawning	0
😤	face with steam from nose	Smileys & Emotion	face-negative	face|from|nose|steam|triumph|with	0
😡	enraged face	Smileys & Emotion	face-negative	enraged|face|pout|rage	0
😠	angry face	Smileys & Emotion	face-negative	angry|face	0
🤬	face with symbols on mouth	Smileys & Emotion	face-negative	cursing|face|mouth|symbols|with	0
😈	smiling face with horns	Smileys & Emotion	face-negative	face|horns|imp|smiling|with	0
👿	angry face with horns	Smileys & Emotion	face-negative	angry|face|horns|imp|with	0
💀	skull	Smileys & Emotion	face-negative	skull	0
☠️	skull and crossbones	Smileys & Emotion	face-negative	and|crossbones|skull	0
💩	pile of poo	Smileys & Emotion	face-costume	hankey|pile|poo|poop|shit	0
🤡	clown face	Smileys & Emotion	face-costume	clown|face	0
👹	ogre	Smileys & Emotion	face-costume	japanese|ogre	0
👺	goblin	Smileys & Emotion	face-costume	goblin|japanese	0
👻	ghost	Smileys & Emotion	face-costume	ghost	0
👽	alien	Smileys & Emotion	face-costume	alien	0
👾	alien monster	Smileys & Emotion	face-costume	alien|invader|monster|space	0
🤖	robot	Smileys & Emotion	face-costume	robot	0
😺	grinning cat	Smileys & Emotion	cat-face	cat|grinning|smiley	0
😸	grinning cat with smiling eyes	Smileys & Emotion	cat-face	cat|eyes|grinning|smile|smiling|with	0
😹	cat with tears of joy	Smileys & Emotion	cat-face	cat|joy|tears|with	0
😻	smiling cat with heart-eyes	Smileys & Emotion	cat-face	cat|eyes|heart|smiling|with	0
😼	cat with wry smile	Smileys & Emotion	cat-face	cat|smile|smirk|with|wry	0
😽	kissing cat	Smileys & Emotion	cat-face	cat|kissing	0
🙀	weary cat	Smileys & Emotion	cat-face	cat|scream|weary	0
😿	crying cat	Smileys & Emotion	cat-face	cat|crying|face	0
😾	pouting cat	Smileys & Emotion	cat-face	cat|pouting	0
🙈	see-no-evil monkey	Smileys & Emotion	monkey-face	evil|monkey|see	0
🙉	hear-no-evil monkey	Smileys & Emotion	monkey-face	evil|hear|monkey	0
🙊	speak-no-evil monkey	Smileys & Emotion	monkey-face	evil|monkey|speak	0
💌	love letter	Smileys & Emotion	heart	letter|love	0
💘	heart with arrow	Smileys & Emotion	heart	arrow|cupid|heart|with	0
💝	heart with ribbon	Smileys & Emotion	heart	gift|heart|ribbon|with	0
💖	sparkling heart	Smileys & Emotion	heart	heart|sparkling	0
💗	growing heart	Smileys & Emotion	heart	growing|heart|heartpulse	0
💓	beating heart	Smileys & Emotion	heart	beating|heart|heartbeat	0
💞	revolving hearts	Smileys & Emotion	heart	hearts|revolving	0
💕	two hearts	Smileys & Emotion	heart	hearts|two	0
💟	heart decoration	Smileys & Emotion	heart	decoration|heart	0
❣️	heart exclamation	Smileys & Emotion	heart	exclamation|heart|heavy	0
💔	broken heart	Smileys & Emotion	heart	breakup|broken|heart	0
❤️‍🔥	heart on fire	Smileys & Emotion	heart	fire|heart	0
❤️‍🩹	mending heart	Smileys & Emotion	heart	heart|mending	0
❤️	red heart	Smileys & Emotion	heart	heart|like|love|red	0
🩷	pink heart	Smileys & Emotion	heart	heart|pink	0
🧡	orange heart	Smileys & Emotion	heart	heart|orange	0
💛	yellow heart	Smileys & Emotion	heart	heart|yellow	0
